Name,Amount,Date,Remaining Balance
Fantastic Sams,-$25.95,03/13/2024,Hold
Rite Aid,-$20.00,03/14/2024,"$1,253.86"
Walgreens,-$69.22,03/13/2024,"$1,273.86"
Coca Cola Spokane,-$1.75,03/13/2024,"$1,343.08"
R&B Super Stop,-$33.15,03/12/2024,"$1,344.83"
Costco Whse,-$3.27,03/12/2024,"$1,377.98"
Costco Whse,-$187.13,03/12/2024,"$1,381.25"
Rosauers,-$17.38,03/11/2024,"$1,568.38"
Hico Village,-$54.14,03/11/2024,"$1,585.76"
Hico Village,-$3.58,03/11/2024,"$1,639.90"
Disneystore,-$23.87,03/10/2024,"$1,643.48"
Hico Village,-$18.75,03/10/2024,"$1,667.35"
Pizza Rita Online Eco,-$54.75,03/10/2024,"$1,686.10"
Holiday Stations,-$13.06,03/09/2024,"$1,740.85"
Wendy's,-$14.90,03/08/2024,"$1,753.91"
Deposit,$621.00,03/08/2024,"$1,768.81"
Venmo,-$50.00,03/08/2024,"$1,147.81"
Grubhubtacobell Grubhub,-$65.51,03/08/2024,"$1,197.81"
ATM withdrawal,-$43.00,03/07/2024,"$1,263.32"
Hico Village,-$18.75,03/07/2024,"$1,306.32"
Direct Damage Games,-$65.38,03/03/2024,"$1,325.07"
Broadway Mini Market,-$12.51,03/03/2024,"$1,390.45"
La Plaza De Mexico,-$48.40,03/03/2024,"$1,402.96"
Broadway Mini Market,-$21.85,03/03/2024,"$1,451.36"
Zip's Restaurant,-$29.61,03/03/2024,"$1,473.21"
R&B Super Stop,-$17.94,03/02/2024,"$1,502.82"
Costco Whse,-$343.79,03/01/2024,"$1,520.76"
Panda Express,-$29.73,03/01/2024,"$1,864.55"
ATM withdrawal,-$23.00,02/29/2024,"$1,894.28"
True Laboratory LLC,-$99.00,02/29/2024,"$1,917.28"
Zero to Mastery a Teachable,-$42.47,02/28/2024,"$2,016.28"
Venmo,-$720.00,02/28/2024,"$2,058.75"
Rite Aid,-$27.21,02/28/2024,"$2,778.75"
Rite Aid,-$47.31,02/28/2024,"$2,805.96"
Coca Cola Spokane,-$1.75,02/28/2024,"$2,853.27"
Withdrawal,-$32.09,02/27/2024,"$2,855.02"
Deposit,$621.00,02/26/2024,"$2,887.11"
Tmobile Auto Pay,-$271.79,02/26/2024,"$2,266.11"
River Park Square,-$11.00,02/25/2024,"$2,537.90"
Venmo,-$15.00,02/25/2024,"$2,548.90"
